 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
537,Perry-1,41.801,-81.147,United States,US,Operational,BWR,BWR-6 (Mark 3),01-10-1974,18-11-1987,12-10-2023,1205,2015-05-24T04:51:49+03:00,WNA/IAEA,725,35
541,Pickering-1,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500A,01-06-1966,29-07-1971,12-10-2023,508,2015-05-24T04:50:33+03:00,WNA/IAEA,49,52
544,Pickering-4,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500A,01-05-1968,17-06-1973,12-10-2023,508,2015-05-24T04:50:37+03:00,WNA/IAEA,52,50
545,Pickering-5,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500B,01-11-1974,10-05-1983,12-10-2023,516,2015-05-24T04:50:22+03:00,WNA/IAEA,33,40
546,Pickering-6,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500B,01-10-1975,01-02-1984,12-10-2023,516,2015-05-24T04:50:22+03:00,WNA/IAEA,34,39
547,Pickering-7,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500B,01-03-1976,01-01-1985,12-10-2023,516,2015-05-24T04:50:23+03:00,WNA/IAEA,35,38
548,Pickering-8,43.812,-79.07,Canada,CA,Operational,PHWR,CANDU 500B,01-09-1976,28-02-1986,12-10-2023,516,2015-05-24T04:50:23+03:00,WNA/IAEA,36,37
551,Point Beach-1,44.282,-87.534,United States,US,Operational,PWR,WH 2LP (DRYAMB),19-07-1967,21-12-1970,12-10-2023,497,2017-02-10T23:58:03+02:00,WNA/IAEA,622,52
552,Point Beach-2,44.282,-87.534,United States,US,Operational,PWR,WH 2LP (DRYAMB),25-07-1968,01-10-1972,12-10-2023,497,2017-02-10T23:58:22+02:00,WNA/IAEA,644,51
553,Point Lepreau,45.068,-66.455,Canada,CA,Operational,PHWR,CANDU 6,01-05-1975,01-02-1983,12-10-2023,660,2015-05-24T04:50:23+03:00,WNA/IAEA,37,40
555,Prairie Island-1,44.622,-92.631,United States,US,Operational,PWR,WH 2LP (DRYAMB),25-06-1968,16-12-1973,12-10-2023,530,2017-02-10T23:58:12+02:00,WNA/IAEA,633,49
556,Prairie Island-2,44.622,-92.631,United States,US,Operational,PWR,WH 2LP (DRYAMB),25-06-1969,21-12-1974,12-10-2023,530,2017-02-10T23:58:28+02:00,WNA/IAEA,648,48
557,Qinshan-1,30.44,120.95,China,CN,Operational,PWR,CNP-300,20-03-1985,01-04-1994,12-10-2023,289,2023-08-28T08:01:45+03:00,WNA/IAEA,62,29
558,Qinshan-2-1 (Qinshan 2),30.44,120.95,China,CN,Operational,PWR,CNP-600,02-06-1996,15-04-2002,12-10-2023,610,2015-05-24T04:50:40+03:00,WNA/IAEA,65,21
559,Qinshan-2-2 (Qinshan 3),30.44,120.95,China,CN,Operational,PWR,CNP-600,01-04-1997,03-05-2004,12-10-2023,610,2015-05-24T04:50:40+03:00,WNA/IAEA,66,19
560,Qinshan-2-3 (Qinshan 4),30.44,120.95,China,CN,Operational,PWR,CNP-600,28-04-2006,05-10-2010,12-10-2023,619,2015-05-24T04:51:51+03:00,WNA/IAEA,876,13
561,Qinshan-2-4 (Qinshan 5),30.44,120.95,China,CN,Operational,PWR,CNP-600,28-01-2007,30-12-2011,12-10-2023,619,2015-05-24T04:51:51+03:00,WNA/IAEA,877,11
562,Qinshan-3-1 (Qinshan 6),30.44,120.95,China,CN,Operational,PHWR,CANDU 6,08-06-1998,31-12-2002,12-10-2023,677,2015-05-24T04:50:40+03:00,WNA/IAEA,69,20
563,Qinshan-3-2 (Qinshan 7),30.44,120.95,China,CN,Operational,PHWR,CANDU 6,25-09-1998,24-07-2003,12-10-2023,677,2015-05-24T04:51:50+03:00,WNA/IAEA,840,20
564,Quad Cities-1,41.727,-90.308,United States,US,Operational,BWR,BWR-3 (Mark 1),15-02-1967,18-02-1973,12-10-2023,789,2015-05-24T04:51:41+03:00,WNA/IAEA,615,50
565,Quad Cities-2,41.727,-90.308,United States,US,Operational,BWR,BWR-3 (Mark 1),15-02-1967,10-03-1973,12-10-2023,789,2015-05-24T04:51:42+03:00,WNA/IAEA,621,50
566,R. E. Ginna,43.279,-77.311,United States,US,Operational,PWR,WH 2LP (DRYAMB),25-04-1966,01-07-1970,12-10-2023,470,2017-02-10T23:57:51+02:00,WNA/IAEA,609,53
568,Rajasthan-2,24.876,75.608,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-04-1968,01-04-1981,12-10-2023,207,2015-05-24T04:54:06+03:00,WNA/IAEA,303,42
569,Rajasthan-3,24.876,75.608,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-02-1990,01-06-2000,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,287,23
570,Rajasthan-4,24.876,75.608,India,IN,Operational,PHWR,Horizontal Pressure Tube type,01-10-1990,23-12-2000,12-10-2023,202,2015-05-24T04:54:05+03:00,WNA/IAEA,288,22
571,Rajasthan-5,24.876,75.608,India,IN,Operational,PHWR,Horizontal Pressure Tube type,18-09-2002,04-02-2010,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,295,13
572,Rajasthan-6,24.876,75.608,India,IN,Operational,PHWR,Horizontal Pressure Tube type,20-01-2003,31-03-2010,12-10-2023,202,2015-05-24T04:54:06+03:00,WNA/IAEA,297,13
579,Ringhals-3,57.259,12.111,Sweden,SE,Operational,PWR,WH 3LP,01-09-1972,09-09-1981,12-10-2023,915,2023-08-28T08:01:45+03:00,WNA/IAEA,539,42
580,Ringhals-4,57.259,12.111,Sweden,SE,Operational,PWR,WH 3LP,01-11-1973,21-11-1983,12-10-2023,1130,2021-04-20T02:47:37+03:00,WNA/IAEA,529,39
581,River Bend-1,30.727,-91.372,United States,US,Operational,BWR,BWR-6 (Mark 3),25-03-1977,16-06-1986,12-10-2023,966,2015-05-24T04:51:49+03:00,WNA/IAEA,739,37
583,Rostov-1 (Volgodonsk-1),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,01-09-1981,25-12-2001,12-10-2023,950,2015-05-24T04:51:35+03:00,WNA/IAEA,502,21
584,Rostov-2 (Volgodonsk-2),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,01-05-1983,10-12-2010,12-10-2023,950,2015-05-24T04:51:35+03:00,WNA/IAEA,505,12
585,Rostov-3 (Volgodonsk-3),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,15-09-2009,17-09-2015,12-10-2023,950,2017-02-10T23:57:13+02:00,WNA/IAEA,506,8
586,Rostov-4 (Volgodonsk-4),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,16-06-2010,28-09-2018,12-10-2023,950,2019-06-02T20:19:20+03:00,WNA/IAEA,507,5
587,Rivne-1,51.326,25.9,Ukraine,UA,Operational,PWR,VVER V-213,01-08-1973,22-09-1981,12-10-2023,361,2023-08-28T08:51:40+03:00,WNA/IAEA,570,42
588,Rivne-2,51.326,25.9,Ukraine,UA,Operational,PWR,VVER V-213,01-10-1973,29-07-1982,12-10-2023,384,2023-08-28T08:51:40+03:00,WNA/IAEA,571,41
589,Rivne-3,51.326,25.9,Ukraine,UA,Operational,PWR,VVER V-320,01-02-1980,16-05-1987,12-10-2023,950,2023-08-28T08:51:40+03:00,WNA/IAEA,572,36
590,Rivne-4,51.326,25.9,Ukraine,UA,Operational,PWR,VVER V-320,01-08-1986,06-04-2006,12-10-2023,950,2023-08-28T08:51:40+03:00,WNA/IAEA,589,17
591,Salem-1,39.463,-75.534,United States,US,Operational,PWR,WH 4LP (DRYAMB),25-09-1968,30-06-1977,12-10-2023,1090,2017-02-10T23:58:08+02:00,WNA/IAEA,627,46
592,Salem-2,39.463,-75.534,United States,US,Operational,PWR,WH 4LP (DRYAMB),25-09-1968,13-10-1981,12-10-2023,1115,2017-02-10T23:58:29+02:00,WNA/IAEA,650,41
596,Sanmen-1,29.101,121.642,China,CN,Operational,PWR,AP-1000,19-04-2009,21-09-2018,12-10-2023,1157,2018-10-13T22:30:42+03:00,WNA/IAEA,879,5
597,Sanmen-2,29.101,121.642,China,CN,Operational,PWR,AP-1000,15-12-2009,05-11-2018,12-10-2023,1157,2019-06-02T20:19:24+03:00,WNA/IAEA,880,4
604,Seabrook-1,42.897,-70.849,United States,US,Operational,PWR,WH 4LP (DRYAMB),07-07-1976,19-08-1990,12-10-2023,1149,2017-02-10T23:59:16+02:00,WNA/IAEA,727,33
605,Sendai-1,31.834,130.193,Japan,JP,Operational,PWR,M (3-loop),15-12-1979,04-07-1984,12-10-2023,846,2015-05-24T04:51:28+03:00,WNA/IAEA,353,39
606,Sendai-2,31.834,130.193,Japan,JP,Operational,PWR,M (3-loop),12-10-1981,28-11-1985,12-10-2023,846,2015-05-24T04:51:29+03:00,WNA/IAEA,363,37
608,Sequoyah-1,35.228,-85.094,United States,US,Operational,PWR,WH 4LP (ICECND),27-05-1970,01-07-1981,12-10-2023,1148,2017-02-10T23:58:40+02:00,WNA/IAEA,663,42
609,Sequoyah-2,35.228,-85.094,United States,US,Operational,PWR,WH 4LP (ICECND),27-05-1970,01-06-1982,12-10-2023,1148,2017-02-10T23:58:43+02:00,WNA/IAEA,664,41
615,Shearon Harris-1,35.635,-78.955,United States,US,Operational,PWR,WH 3LP (DRYAMB),28-01-1978,02-05-1987,12-10-2023,900,2017-02-10T23:58:59+02:00,WNA/IAEA,704,36
616,Shidao Bay-1,36.979167,122.530556,China,CN,Operational,HTGR,HTR-PM,09-12-2012,,,200,2022-01-05T00:04:08+02:00,IAEA/wikipedia,957,0
622,Shin-Wolsong-1,35.722,129.479,South Korea,KR,Operational,PWR,OPR-1000,20-11-2007,31-07-2012,12-10-2023,950,2022-04-21T20:26:19+03:00,WNA/IAEA,883,11
623,Shin-Wolsong-2,35.722,129.479,South Korea,KR,Operational,PWR,OPR-1000,23-09-2008,24-07-2015,12-10-2023,950,2022-04-21T20:26:19+03:00,WNA/IAEA,884,8
624,Shin-Hanul-1,37.083889,129.391667,South Korea,KR,Operational,PWR,APR-1400,10-07-2012,07-12-2022,12-10-2023,1340,2022-12-30T00:57:40+02:00,IAEA,887,0
626,Shin-Kori-1,35.327,129.302,South Korea,KR,Operational,PWR,OPR-1000,16-06-2006,28-02-2011,12-10-2023,998,2022-04-21T20:26:19+03:00,WNA/IAEA,864,12
627,Shin-Kori-2,35.327,129.302,South Korea,KR,Operational,PWR,OPR-1000,05-06-2007,20-07-2012,12-10-2023,995,2022-04-21T20:26:19+03:00,WNA/IAEA,865,11
628,Saeul-1,35.327,129.302,South Korea,KR,Operational,PWR,APR-1400,16-10-2008,20-12-2016,12-10-2023,1340,2022-12-30T01:45:43+02:00,WNA/IAEA,885,6
629,Saeul-2,35.327,129.302,South Korea,KR,Operational,PWR,APR-1400,19-08-2009,29-08-2019,12-10-2023,1340,2022-12-30T01:45:43+02:00,WNA/IAEA,886,4
640,Sizewell-B,52.212,1.621,United Kingdom,GB,Operational,PWR,SNUPPS,18-07-1988,22-09-1995,12-10-2023,1188,2015-05-24T04:51:18+03:00,WNA/IAEA,263,28
643,Smolensk-1,54.169,33.245,Russia,RU,Operational,LWGR,RBMK-1000,01-10-1975,30-09-1983,12-10-2023,925,2015-05-24T04:51:34+03:00,WNA/IAEA,486,40
644,Smolensk-2,54.169,33.245,Russia,RU,Operational,LWGR,RBMK-1000,01-06-1976,02-07-1985,12-10-2023,925,2015-05-24T04:51:34+03:00,WNA/IAEA,487,38
645,Smolensk-3,54.169,33.245,Russia,RU,Operational,LWGR,RBMK-1000,01-05-1984,12-10-1990,12-10-2023,925,2015-05-24T04:51:36+03:00,WNA/IAEA,508,32
647,South Texas-1,28.797,-96.044,United States,US,Operational,PWR,WH 4LP (DRYAMB),22-12-1975,25-08-1988,12-10-2023,1250,2017-02-10T23:59:20+02:00,WNA/IAEA,764,35
648,South Texas-2,28.796,-96.044,United States,US,Operational,PWR,WH 4LP (DRYAMB),22-12-1975,19-06-1989,12-10-2023,1250,2017-02-10T23:59:21+02:00,WNA/IAEA,765,34
649,South Ukraine-1,47.811,31.22,Ukraine,UA,Operational,PWR,VVER V-302,01-08-1976,02-12-1983,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,577,39
650,South Ukraine-2,47.811,31.22,Ukraine,UA,Operational,PWR,VVER V-338,01-07-1981,06-04-1985,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,578,38
651,South Ukraine-3,47.811,31.22,Ukraine,UA,Operational,PWR,VVER V-320,01-11-1984,29-12-1989,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,579,33
652,St. Alban-1,45.404,4.754,France,FR,Operational,PWR,P4 REP 1300,29-01-1979,01-05-1986,12-10-2023,1335,2015-05-24T04:51:00+03:00,WNA/IAEA,204,37
653,St. Alban-2,45.404,4.754,France,FR,Operational,PWR,P4 REP 1300,31-07-1979,01-03-1987,12-10-2023,1335,2015-05-24T04:51:01+03:00,WNA/IAEA,205,36
656,St. Laurent-B1,47.724,1.582,France,FR,Operational,PWR,CP2,01-05-1976,01-08-1983,12-10-2023,915,2015-05-24T04:50:51+03:00,WNA/IAEA,169,40
657,St. Laurent-B2,47.72,1.581,France,FR,Operational,PWR,CP2,01-07-1976,01-08-1983,12-10-2023,880,2015-05-24T04:50:53+03:00,WNA/IAEA,177,40
658,St. Lucie-1,27.348,-80.244,United States,US,Operational,PWR,CE 2LP (DRYAMB),01-07-1970,21-12-1976,12-10-2023,830,2017-02-10T23:58:47+02:00,WNA/IAEA,670,46
659,St. Lucie-2,27.348,-80.244,United States,US,Operational,PWR,CE 2LP (DRYAMB),02-06-1977,08-08-1983,12-10-2023,830,2017-02-10T23:58:56+02:00,WNA/IAEA,698,40
661,Summer-1,34.299,-81.314,United States,US,Operational,PWR,WH 3LP (DRYAMB),21-03-1973,01-01-1984,12-10-2023,900,2017-02-10T23:58:58+02:00,WNA/IAEA,701,39
665,Surry-1,37.166,-76.7,United States,US,Operational,PWR,WH 3LP (DRYSUB),25-06-1968,22-12-1972,12-10-2023,788,2017-02-10T23:58:10+02:00,WNA/IAEA,631,50
666,Surry-2,37.166,-76.7,United States,US,Operational,PWR,WH 3LP (DRYSUB),25-06-1968,01-05-1973,12-10-2023,788,2017-02-10T23:58:11+02:00,WNA/IAEA,632,50
667,Susquehanna-1,41.093,-76.143,United States,US,Operational,BWR,BWR-4 (Mark 2),02-11-1973,08-06-1983,12-10-2023,1065,2015-05-24T04:51:48+03:00,WNA/IAEA,696,40
668,Susquehanna-2,41.093,-76.143,United States,US,Operational,BWR,BWR-4 (Mark 2),02-11-1973,12-02-1985,12-10-2023,1065,2015-05-24T04:51:48+03:00,WNA/IAEA,697,38
669,Taishan-1,21.917778,112.981944,China,CN,Operational,PWR,EPR-1750,18-11-2009,13-12-2018,12-10-2023,1660,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,918,4
670,Taishan-2,21.917778,112.981944,China,CN,Operational,PWR,EPR-1750,15-04-2010,07-09-2019,12-10-2023,1660,2022-09-24T22:33:57+03:00,WNA/IAEA/Wikipedia,919,4
673,Takahama-3,35.52,135.503,Japan,JP,Operational,PWR,M (3-loop),12-12-1980,17-01-1985,12-10-2023,830,2015-05-24T04:51:28+03:00,WNA/IAEA,354,38
674,Takahama-4,35.52,135.503,Japan,JP,Operational,PWR,M (3-loop),19-03-1981,05-06-1985,12-10-2023,830,2015-05-24T04:51:28+03:00,WNA/IAEA,356,38
681,Tarapur-3,19.834,72.657,India,IN,Operational,PHWR,Horizontal Pressure Tube Type,12-05-2000,18-08-2006,12-10-2023,502,2015-05-24T04:54:06+03:00,WNA/IAEA,300,17
682,Tarapur-4,19.834,72.657,India,IN,Operational,PHWR,Horizontal Pressure Tube Type,08-03-2000,12-09-2005,12-10-2023,502,2015-05-24T04:54:06+03:00,WNA/IAEA,301,18
683,Temelin-1,49.181,14.377,Czechia,CZ,Operational,PWR,VVER V-320,01-02-1987,10-06-2002,12-10-2023,1027,2021-02-14T03:47:53+02:00,WNA/IAEA,74,21
684,Temelin-2,49.181,14.377,Czechia,CZ,Operational,PWR,VVER V-320,01-02-1987,18-04-2003,12-10-2023,1029,2021-02-14T03:47:53+02:00,WNA/IAEA,75,20
688,Tianwan-1,34.69,119.456,China,CN,Operational,PWR,VVER V-428,20-10-1999,17-05-2007,12-10-2023,990,2015-05-24T04:51:50+03:00,WNA/IAEA,838,16
689,Tianwan-2,34.69,119.456,China,CN,Operational,PWR,VVER V-428,20-09-2000,16-08-2007,12-10-2023,990,2015-05-24T04:51:50+03:00,WNA/IAEA,839,16
690,Tianwan-3,34.6868,119.456,China,CN,Operational,PWR,VVER V-428M,27-12-2012,14-02-2018,12-10-2023,1060,2018-07-01T01:21:55+03:00,WNA/IAEA,973,5
691,Tianwan-4,34.6858,119.456,China,CN,Operational,PWR,VVER V-428M,27-09-2013,22-12-2018,12-10-2023,1060,2019-06-02T20:19:28+03:00,WNA/IAEA,974,4
692,Tianwan-5,34.6838,119.456,China,CN,Operational,PWR,CNP-1000,27-12-2015,08-09-2020,12-10-2023,1000,2021-01-06T01:19:47+02:00,WNA/Wikipedia/IAEA,975,3
693,Tianwan-6,34.6828,119.456,China,CN,Operational,PWR,CNP-1000,07-09-2016,02-06-2021,12-10-2023,1000,2021-06-29T00:12:17+03:00,WNA/Wikipedia/IAEA,976,2
694,Tihange-1,50.533,5.271,Belgium,BE,Operational,PWR,Framatome 3 loops reactor,01-06-1970,01-10-1975,12-10-2023,870,2015-05-24T04:54:04+03:00,WNA/IAEA,10,48
696,Tihange-3,50.533,5.271,Belgium,BE,Operational,PWR,WH 3LP,01-11-1978,01-09-1985,12-10-2023,1020,2017-02-10T23:55:44+02:00,WNA/IAEA,15,38
702,Torness-1,55.966,-2.399,United Kingdom,GB,Operational,GCR,AGR,01-08-1980,25-05-1988,12-10-2023,645,2015-05-24T04:51:18+03:00,WNA/IAEA,261,35
703,Torness-2,55.966,-2.399,United Kingdom,GB,Operational,GCR,AGR,01-08-1980,03-02-1989,12-10-2023,645,2015-05-24T04:51:18+03:00,WNA/IAEA,262,34
706,Tricastin-1,44.33,4.733,France,FR,Operational,PWR,CP1,01-11-1974,01-12-1980,12-10-2023,915,2015-05-24T04:50:51+03:00,WNA/IAEA,170,42
707,Tricastin-2,44.33,4.733,France,FR,Operational,PWR,CP1,01-12-1974,01-12-1980,12-10-2023,915,2015-05-24T04:50:51+03:00,WNA/IAEA,171,42
708,Tricastin-3,44.331,4.733,France,FR,Operational,PWR,CP1,01-04-1975,11-05-1981,12-10-2023,915,2015-05-24T04:50:53+03:00,WNA/IAEA,179,42
709,Tricastin-4,44.331,4.733,France,FR,Operational,PWR,CP1,01-05-1975,01-11-1981,12-10-2023,915,2015-05-24T04:50:53+03:00,WNA/IAEA,180,41
710,Trillo-1,40.699,-2.622,Spain,ES,Operational,PWR,PWR 3 loops,17-08-1979,06-08-1988,12-10-2023,990,2015-05-24T04:50:49+03:00,WNA/IAEA,141,35
717,Turkey Point-3,25.435,-80.33,United States,US,Operational,PWR,WH 3LP (DRYAMB),27-04-1967,14-12-1972,12-10-2023,693,2017-02-10T23:57:56+02:00,WNA/IAEA,613,50
718,Turkey Point-4,25.435,-80.33,United States,US,Operational,PWR,WH 3LP (DRYAMB),27-04-1967,07-09-1973,12-10-2023,693,2017-02-10T23:57:58+02:00,WNA/IAEA,614,50
727,Vandellos-2,40.949,0.867,Spain,ES,Operational,PWR,WH 3LP,29-12-1980,08-03-1988,12-10-2023,930,2017-02-10T23:56:13+02:00,WNA/IAEA,146,35
731,Vogtle-1,33.143,-81.76,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-08-1976,01-06-1987,12-10-2023,1122,2017-02-10T23:59:15+02:00,WNA/IAEA,718,36
732,Vogtle-2,33.143,-81.76,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-08-1976,20-05-1989,12-10-2023,1101,2017-02-10T23:59:16+02:00,WNA/IAEA,719,34
733,Vogtle-3,33.1399,-81.7686,United States,US,Operational,PWR,AP-1000,02-03-2013,31-07-2023,12-10-2023,1117,2023-08-28T08:01:45+03:00,WNA/IAEA,1042,0
735,Waterford-3,29.994,-90.471,United States,US,Operational,PWR,CE 2LP (DRYAMB),14-11-1974,24-09-1985,12-10-2023,1104,2017-02-10T23:58:56+02:00,WNA/IAEA,695,38
736,Watts Bar-1,35.601,-84.789,United States,US,Operational,PWR,WH 4LP (ICECND),20-07-1973,27-05-1996,12-10-2023,1218,2017-02-10T23:58:57+02:00,WNA/IAEA,699,27
737,Watts Bar-2,35.601,-84.789,United States,US,Operational,PWR,WH 4LP (ICECND),01-09-1973,19-10-2016,12-10-2023,1165,2017-02-10T23:58:57+02:00,WNA/IAEA,700,6
740,Wolf Creek,38.239,-95.691,United States,US,Operational,PWR,WH 4LP (DRYAMB),31-05-1977,03-09-1985,12-10-2023,1170,2017-02-10T23:59:19+02:00,WNA/IAEA,751,38
742,Wolsong-2,35.71,129.476,South Korea,KR,Operational,PHWR,CANDU 6,25-09-1992,01-07-1997,12-10-2023,652,2022-04-21T20:26:19+03:00,WNA/IAEA,408,26
743,Wolsong-3,35.71,129.476,South Korea,KR,Operational,PHWR,CANDU 6,17-03-1994,01-07-1998,12-10-2023,665,2022-04-21T20:26:19+03:00,WNA/IAEA,400,25
744,Wolsong-4,35.71,129.476,South Korea,KR,Operational,PHWR,CANDU 6,22-07-1994,01-10-1999,12-10-2023,669,2022-04-21T20:26:19+03:00,WNA/IAEA,401,24
756,Yangjiang-1,21.706,112.256,China,CN,Operational,PWR,CPR-1000,16-12-2008,25-03-2014,12-10-2023,1021,2015-05-24T04:51:52+03:00,WNA/IAEA,881,9
757,Yangjiang-2,21.706,112.256,China,CN,Operational,PWR,CPR-1000,04-06-2009,05-06-2015,12-10-2023,1000,2015-08-23T03:28:27+03:00,WNA/IAEA,882,8
758,Yangjiang-3,21.706,112.256,China,CN,Operational,PWR,CPR-1000,15-11-2010,01-01-2016,12-10-2023,1000,2016-03-09T18:43:57+02:00,WNA/IAEA,931,7
759,Yangjiang-4,21.8575,111.9825,China,CN,Operational,PWR,CPR-1000,17-11-2012,15-03-2017,12-10-2023,1000,2017-09-25T03:20:38+03:00,WNA/IAEA,932,6
760,Yangjiang-5,21.8575,111.9825,China,CN,Operational,PWR,ACPR-1000,18-09-2013,12-07-2018,12-10-2023,1021,2019-06-02T20:19:31+03:00,IAEA,933,5
761,Yangjiang-6,21.8575,111.9825,China,CN,Operational,PWR,ACPR-1000,23-12-2013,24-07-2019,12-10-2023,1000,22-11-2019,IAEA,934,4
771,Zaporozhye-1,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-04-1980,25-12-1985,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,584,37
772,Zaporozhye-2,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-01-1981,15-02-1986,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,586,37
773,Zaporozhye-3,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-04-1982,05-03-1987,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,594,36
774,Zaporozhye-4,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-04-1983,14-04-1988,12-10-2023,950,2015-05-24T04:51:40+03:00,WNA/IAEA,595,35
775,Zaporozhye-5,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-11-1985,27-10-1989,12-10-2023,950,2015-05-24T04:51:39+03:00,WNA/IAEA,566,33
776,Zaporozhye-6,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,01-06-1986,17-09-1996,12-10-2023,950,2015-05-24T04:51:39+03:00,WNA/IAEA,567,27
780,Fangchenggang-3,21.6,108.3,China,CN,Operational,PWR,HPR1000,24-12-2015,25-03-2023,12-10-2023,1000,2023-08-28T08:01:45+03:00,IAEA,945,0
783,KANUPP-2,24.845,66.79,Pakistan,PK,Operational,PWR,ACP-1000,20-08-2015,21-05-2021,12-10-2023,1017,2022-04-21T20:26:19+03:00,IAEA,1067,2
785,KANUPP-3,24.845,66.79,Pakistan,PK,Operational,PWR,ACP-1000,31-05-2016,18-04-2022,12-10-2023,1014,2022-09-24T22:33:57+03:00,IAEA,1068,1
4,Akhvaz-1,,,Iran,IR,Planned,,,,,,,,WNA,,0
5,Akhvaz-2,,,Iran,IR,Planned,,,,,,,,WNA,,0
21,Armenian-3,40.1808,44.1472,Armenia,AM,Planned,PWR,,,,,,07-06-2021,WNA,,0
34,Chutka-1,,,India,IN,Planned,PHWR,,,,,,07-06-2021,WNA,,0
35,Chutka-2,,,India,IN,Planned,PHWR,,,,,,07-06-2021,WNA,,0
50,Beloyarsk-5,56.842,61.321,Russia,RU,Planned,FBR,BN-1200,,,,,,WNA/Wikipedia,,0
101,Bushehr-3,28.8305,50.8872,Iran,IR,Planned,,,,,,,,WNA,,0
102,Bushehr-4,28.8305,50.8872,Iran,IR,Planned,,,,,,,,WNA,,0
173,Darlington-5,43.8644,-78.7244,Canada,CA,Planned,PHWR,,,,,,,WNA,,0
174,Darlington-6,43.8633,-78.7244,Canada,CA,Planned,PHWR,,,,,,,WNA,,0
287,Hamaoka-6,34.621,138.141,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
309,Higashi Dori-1 (Tokyo),41.1856,141.388,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
310,Higashi Dori-2 (Tohoku),41.1856,141.39,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
311,Higashi Dori-2 (Tokyo),41.1856,141.389,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
318,Hongshiding-1 (Rushan-1),,,China,CN,Planned,PWR,,,,,,,WNA,,0
319,Hongshiding-2 (Rushan-2),,,China,CN,Planned,PWR,,,,,,,WNA,,0
343,Jaitapur-1,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,,0
344,Jaitapur-2,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,,0
345,Java-1 (Muria),,,Indonesia,ID,Planned,,,,,,,,WNA,,0
354,Kaiga-5,14.868,74.4418,India,IN,Planned,PWR,,,,,,,WNA,,0
355,Kaiga-6,14.868,74.4422,India,IN,Planned,PWR,,,,,,,WNA,,0
367,Kaminoseki-1,,,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
368,Kaminoseki-2,,,Japan,JP,Planned,ABWR,,,,,,,WNA,,0
408,Kumharia-1,,,India,IN,Planned,PHWR,,,,,,,WNA,,0
409,Kumharia-2,,,India,IN,Planned,PHWR,,,,,,,WNA,,0
410,Kumharia-3,,,India,IN,Planned,PHWR,,,,,,,WNA,,0
411,Kumharia-4,,,India,IN,Planned,PHWR,,,,,,,WNA,,0
427,Leningrad 2-3,59.837,29.039,Russia,RU,Planned,PWR,VVER V-491,,,,1085,,Wikipedia,,0
428,Leningrad 2-4,59.837,29.039,Russia,RU,Planned,PWR,VVER V-491,,,,1085,,Wikipedia,,0
433,Lianyungang-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
434,Lianyungang-2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
442,Longyou-1,,,China,CN,Planned,PWR,,,,,,,WNA,,0
443,Longyou-2,,,China,CN,Planned,PWR,,,,,,,WNA,,0
479,Ningde-5,27.046,120.287,China,CN,Planned,PWR,CPR-1000,,,,,,WNA/Wikipedia,,0
480,Ningde-6,27.046,120.287,China,CN,Planned,PWR,CPR-1000,,,,,,WNA/Wikipedia,,0
